metname,inchikey,Canonical_SMILES
2oxpaccoa,ZQZCWPBSHHYCMM-BETJHJQZSA-J,CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)C=C4CC=CC=CO4)O
uLa4n,NA,noinchikey_inpubchem
catechol,YCIMNLLNPGFGHC-UHFFFAOYSA-N,C1=CC=C(C(=C1)O)O
carbox,NA,noinchikey_inpubchem
5cmhmsa,NLXIEJRQAIHYPN-IOBHVTPZSA-L,noinchikey_inpubchem
glyclt,AEMRFAOFKBGASW-UHFFFAOYSA-M,C(C(=O)[O-])O
tdec2eACP,NA,noinchikey_inpubchem
pydx,RADKZDMFGJYCBB-UHFFFAOYSA-N,CC1=NC=C(C(=C1O)C=O)CO
5mdr1p,JTFITTQBRJDSTL-KVTDHHQDSA-L,CSCC1C(C(C(O1)OP(=O)([O-])[O-])O)O
dadp,DAEAPNUQQAICNR-RRKCRQDMSA-K,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)([O-])OP(=O)([O-])[O-])O
cdpdhdecg,NA,noinchikey_inpubchem
dhxfut,XWPBBHHZDYSYMS-ZXRVKKJVSA-M,C1=CC(=CC(=C1)C(=O)[O-])C(=O)CCC2C(C(C(O2)O)O)O
ddca,NA,noinchikey_inpubchem
cephc,NA,noinchikey_inpubchem
dhlam,VLYUGYAKYZETRF-SSDOTTSWSA-N,C(CCC(=O)N)CC(CCS)S
nmn,DAYLJWODMCOQEW-TURQNECASA-M,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])[O-])O)O)C(=O)N
seramp,UVSYURUCZPPUQD-MACXSXHHSA-M,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])OC(=O)C(CO)N)O)O)N
o2,MYMOFIZGZYHOMD-UHFFFAOYSA-N,O=O
gm2lipa,NA,noinchikey_inpubchem
ppa,NA,noinchikey_inpubchem
icit,ODBLHEXUDAPZAU-UHFFFAOYSA-K,C(C(C(C(=O)[O-])O)C(=O)[O-])C(=O)[O-]
2mbcoa,LYNVNYDEQMMNMZ-XGXNYEOVSA-J,CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
hmbil,WDFJYRZCZIUBPR-UHFFFAOYSA-F,C1=C(C(=C(N1)CC2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CO)CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-]
flxr,NA,noinchikey_inpubchem
fmn,ANKZYBDXHMZBDK-SCRDCRAPSA-K,noinchikey_inpubchem
methf,MEANFMOQMXYMCT-OLZOCXBDSA-M,C1C2CN(C=[N+]2C3=C(N1)NC(=NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
u3agn,NA,noinchikey_inpubchem
fclav,NA,noinchikey_inpubchem
fa12coa,NA,noinchikey_inpubchem
1ag3p_BS,NA,noinchikey_inpubchem
cpmp,CZAKJJUNKNPTTO-AJFJRRQVSA-N,C1C2C(C(C3C(O2)NC4=C(N3)C(=O)N=C(N4)N)(O)O)OP(=O)(O1)O
fa1,NA,noinchikey_inpubchem
aso3,AQLMHYSWFMLWBS-UHFFFAOYSA-N,O[As](O)[O-]
25aics,NAQGHJTUZRHGAC-ZZZDFHIKSA-J,C1=NC(=C(N1C2C(C(C(O2)COP(=O)([O-])[O-])O)O)N)C(=O)NC(CC(=O)[O-])C(=O)[O-]
sufbcd_2fe2s2,NA,noinchikey_inpubchem
3hddecACP,NA,noinchikey_inpubchem
paps,GACDQMDRPRGCTN-KQYNXXCUSA-J,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])OS(=O)(=O)[O-])OP(=O)([O-])[O-])O)N
sucr,CZMRCDWAGMRECN-UGDNZRGBSA-N,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
ggbutal,JZNLEPLZUABCSQ-ZETCQYMHSA-N,C(CC=O)CNC(=O)CCC(C(=O)O)N
glucan6,NA,noinchikey_inpubchem
lipidXn,NA,noinchikey_inpubchem
4h2opntn,HFKQINMYQUXOCH-UHFFFAOYSA-M,CC(CC(=O)C(=O)[O-])O
1agpg140,LUTDZDAPSDZVAL-RBUKOAKNSA-M,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(CO)O)O
fpram,PMCOGCVKOAOZQM-ZRTZXPPTSA-M,C(C1C(C(C(O1)[NH+]=C(CNC=O)N)O)O)OP(=O)([O-])[O-]
2dhphaccoa,NA,noinchikey_inpubchem
3hcpalm9eACP,NA,noinchikey_inpubchem
ppcoa,QAQREVBBADEHPA-IEXPHMLFSA-J,CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
odecoa,NA,noinchikey_inpubchem
air,PDACUKOKVHBVHJ-ZRTZXPPTSA-M,C1=C([N+](=CN1)C2C(C(C(O2)COP(=O)([O-])[O-])O)O)N
ptrc,KIDHWZJUCRJVML-UHFFFAOYSA-P,C(CC[NH3+])C[NH3+]
q8,ICFIZJQGJAJRSU-SGHXUWJISA-N,CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
dhna,VOJUXHHACRXLTD-UHFFFAOYSA-M,C1=CC=C2C(=C1)C(=CC(=C2O)C(=O)[O-])O
5d4dglcr,QUURPCHWPQNNGL-ZAFYKAAXSA-L,C(C(C(C(=O)[O-])O)O)C(=O)C(=O)[O-]
udcpp,UFPHFKCTOZIAFY-RDQGWRCRSA-L,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)([O-])[O-])C)C)C)C)C)C)C)C)C)C)C
3hpalmACP,NA,noinchikey_inpubchem
lald__L,BSABBBMNWQWLLU-VKHMYHEASA-N,CC(C=O)O
octapb,NA,noinchikey_inpubchem
scl2,NA,noinchikey_inpubchem
pgp140,NA,noinchikey_inpubchem
pser__L,BZQFBWGGLXLEPQ-REOHCLBHSA-L,C(C(C(=O)[O-])[NH3+])OP(=O)([O-])[O-]
metox,QEFRNWWLZKMPFJ-YGVKFDHGSA-N,CS(=O)CCC(C(=O)O)N
dgdp,CIKGWCTVFSRMJU-KVQBGUIXSA-K,C1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)COP(=O)([O-])OP(=O)([O-])[O-])O
hkntd,WCJYZUFKKTYNLB-PFCALIJCSA-L,C(=CC(=O)C=CC(=O)[O-])C=C(C(=O)[O-])O
sufsesh,NA,noinchikey_inpubchem
34hpp,KKADPXVIOXHVKN-UHFFFAOYSA-M,C1=CC(=CC=C1CC(=O)C(=O)[O-])O
fad,IMGVNJNCCGXBHD-UYBVJOGSSA-K,noinchikey_inpubchem
fe2,CWYNVVGOOAEACU-UHFFFAOYSA-N,[Fe+2]
hgentis,IGMNYECMUMZDDF-UHFFFAOYSA-M,C1=CC(=C(C=C1O)CC(=O)[O-])O
4ppcys,XQYALQVLCNHCFT-CBAPKCEASA-K,CC(C)(COP(=O)([O-])[O-])C(C(=O)NCCC(=O)NC(CS)C(=O)[O-])O
thm,MYVIATVLJGTBFV-UHFFFAOYSA-M,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO.[Cl-]
uagmda,PNWZQTONLRRPST-KLDRQJOASA-J,CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)[O-])[NH3+])C(=O)NC(C)C(=O)NC(C)C(=O)[O-])C(=O)[O-])NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)([O-])OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C
gam6p,XHMJOUIAFHJHBW-IVMDWMLBSA-M,C(C1C(C(C(C(O1)O)[NH3+])O)O)OP(=O)([O-])[O-]
actn__R,ROWKJAVDOGWPAT-GSVOUGTGSA-N,CC(C(=O)C)O
dgsn,YKBGVTZYEHREMT-KVQBGUIXSA-N,C1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)CO)O
aso4,DJHGAFSJWGLOIV-UHFFFAOYSA-L,O[As](=O)([O-])[O-]
1agpg120,IACXMECMZISNLR-UHFFFAOYSA-M,CCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(CO)O)O
mn2,WAEMQWOKJMHJLA-UHFFFAOYSA-N,[Mn+2]
adphep_DD,KMSFWBYFWSKGGR-FQBROAFUSA-L,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])OC4C(C(C(C(O4)C(CO)O)O)O)O)O)O)N
2ins,VYEGBDHSGHXOGT-HYFGLKJPSA-N,noinchikey_inpubchem
2agpe181,NA,noinchikey_inpubchem
6p2dhglcn,ZKUSPPOKDDRMIU-JJYYJPOSSA-K,C(C(C(C(C(=O)C(=O)[O-])O)O)O)OP(=O)([O-])[O-]
bmoco1gdp,NA,noinchikey_inpubchem
ficytc,NA,noinchikey_inpubchem
2fe2s,NA,noinchikey_inpubchem
ac,QTBSBXVTEAMEQO-UHFFFAOYSA-M,CC(=O)[O-]
trnaglu,NA,noinchikey_inpubchem
fa4coa,NA,noinchikey_inpubchem
25dhpp,NA,noinchikey_inpubchem
nh3,QGZKDVFQNNGYKY-UHFFFAOYSA-O,[NH4+]
zn2,PTFCDOFLOPIGGS-UHFFFAOYSA-N,[Zn+2]
arab__L,PYMYPHUHKUWMLA-VAYJURFESA-N,C(C(C(C(C=O)O)O)O)O
bz,WPYMKLBDIGXBTP-UHFFFAOYSA-M,C1=CC=C(C=C1)C(=O)[O-]
bzal,HUMNYLRZRPPJDN-UHFFFAOYSA-N,C1=CC=C(C=C1)C=O
mmcoa__R,MZFOKIKEPGUZEN-AGCMQPJKSA-I,CC(C(=O)[O-])C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
uacgamo,NA,noinchikey_inpubchem
ibcoa,AEWHYWSPVRZHCT-NDZSKPAWSA-J,CC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
iscs,NA,noinchikey_inpubchem
lipopb,NA,noinchikey_inpubchem
so4,QAOWNCQODCNURD-UHFFFAOYSA-L,[O-]S(=O)(=O)[O-]
p_xyl,URLKBWYHVLBVBO-UHFFFAOYSA-N,CC1=CC=C(C=C1)C
1tdecg3p,FAZBDRGXCKPVJU-MRXNPFEDSA-L,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])[O-])O
dcmp,NCMVOABPESMRCP-SHYZEUOFSA-L,C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)([O-])[O-])O
cdpglyc,HHPOUCCVONEPRK-JBSYKWBFSA-L,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OCC(CO)O)O)O
4mbzalc,KMTDMTZBNYGUNX-UHFFFAOYSA-N,CC1=CC=C(C=C1)CO
scl,KWIZRXMMFRBUML-AHGFGAHVSA-F,noinchikey_inpubchem
dextrin,NA,noinchikey_inpubchem
glu__D,WHUUTDBJXJRKMK-GSVOUGTGSA-M,C(CC(=O)O)C(C(=O)[O-])N
his__L,HNDVDQJCIGZPNO-YFKPBYRVSA-N,C1=C(NC=N1)CC(C(=O)O)N
metsox_S__L,QEFRNWWLZKMPFJ-YGVKFDHGSA-N,CS(=O)CCC(C(=O)O)N
1agpg181,FQQQKGAFQIIGLQ-SNZQZGEVSA-M,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(CO)O)O
glutar,JFCQEDHGNNZCLN-UHFFFAOYSA-L,C(CC(=O)[O-])CC(=O)[O-]
acg5sa,BCPSFKBPHHBDAI-LURJTMIESA-M,CC(=O)NC(CCC=O)C(=O)[O-]
12dgr160,NA,noinchikey_inpubchem
pmtcoa,MNBKLUUYKPBKDU-BBECNAHFSA-J,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
glyald,MNQZXJOMYWMBOU-VKHMYHEASA-N,C(C(C=O)O)O
hlipan,NA,noinchikey_inpubchem
pran,PMFMJXPRNJUYMB-GWOFURMSSA-K,C1=CC=C(C(=C1)C(=O)[O-])NC2C(C(C(O2)COP(=O)([O-])[O-])O)O
g3p,LXJXRIRHZLFYRP-VKHMYHEASA-L,C(C(C=O)O)OP(=O)([O-])[O-]
alltt,NUCLJNSWZCHRKL-UHFFFAOYSA-M,C(C(=O)[O-])(NC(=O)N)NC(=O)N
cellb,GUBGYTABKSRVRQ-QRZGKKJRSA-N,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
2agpg161,NA,noinchikey_inpubchem
kdo2lipid4Ln,NA,noinchikey_inpubchem
lipan,NA,noinchikey_inpubchem
gal1p,HXXFSFRBOHSIMQ-FPRJBGLDSA-L,C(C1C(C(C(C(O1)OP(=O)([O-])[O-])O)O)O)O
3hmrsACP,NA,noinchikey_inpubchem
moco,NA,noinchikey_inpubchem
alaala,DEFJQIDDEAULHB-QWWZWVQMSA-N,CC(C(=O)NC(C)C(=O)O)N
f6p,BGWGXPAPYGQALX-ARQDHWQXSA-L,C(C1C(C(C(O1)(CO)O)O)O)OP(=O)([O-])[O-]
hghhlipan,NA,noinchikey_inpubchem
rml1p,KNYGWWDTPGSEPD-OTWZMJIISA-L,CC(C(C(C(=O)COP(=O)([O-])[O-])O)O)O
orot5p,KYOBSHFOBAOFBF-XVFCMESISA-K,C1=C(N(C(=O)NC1=O)C2C(C(C(O2)COP(=O)([O-])[O-])O)O)C(=O)[O-]
gcald,WGCNASOHLSPBMP-UHFFFAOYSA-N,C(C=O)O
orot,PXQPEWDEAKTCGB-UHFFFAOYSA-M,C1=C(NC(=O)NC1=O)C(=O)[O-]
uri,DRTQHJPVMGBUCF-XVFCMESISA-N,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O
2h3oppan,QWBAFPFNGRFSFB-UHFFFAOYSA-M,C(=O)C(C(=O)[O-])O
sufbcd_2fe2s,NA,noinchikey_inpubchem
12dgr141,NA,noinchikey_inpubchem
4hbz,FJKROLUGYXJWQN-UHFFFAOYSA-M,C1=CC(=CC=C1C(=O)[O-])O
clav5s,NA,noinchikey_inpubchem
acald,IKHGUXGNUITLKF-UHFFFAOYSA-N,CC=O
hco3,BVKZGUZCCUSVTD-UHFFFAOYSA-M,C(=O)(O)[O-]
nadh,BOPGDPNILDQYTO-NNYOXOHSSA-L,C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
lcts,GUBGYTABKSRVRQ-QKKXKWKRSA-N,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
cmeclav,NA,noinchikey_inpubchem
maltttr,LUEWUZLMQUOBSB-ZLBHSGTGSA-N,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)O)CO)CO)CO)O)O)O)O
rml,QZNPNKJXABGCRC-FUTKDDECSA-N,CC(C(C(C(=O)CO)O)O)O
ipdp,NUHSROFQTUXZQQ-UHFFFAOYSA-K,CC(=C)CCOP(=O)([O-])OP(=O)([O-])[O-]
ckdo,YWWJKULNWGRYAS-UOVSKDHASA-L,C1C(C(C(OC1(C(=O)[O-])OP(=O)([O-])OCC2C(C(C(O2)N3C=CC(=NC3=O)N)O)O)C(CO)O)O)O
f1p,RHKKZBWRNHGJEZ-VRPWFDPXSA-L,C(C1C(C(C(O1)(COP(=O)([O-])[O-])O)O)O)O
dhlpro,NA,noinchikey_inpubchem
galt1p,GACTWZZMVMUKNG-DPYQTVNSSA-L,C(C(C(C(C(COP(=O)([O-])[O-])O)O)O)O)O
hdeACP,NA,noinchikey_inpubchem
LalaDgluMdap,NA,noinchikey_inpubchem
dhpt,WBFYVDCHGVNRBH-UHFFFAOYSA-M,C1C(=NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)C(=O)[O-]
hqn,QIGBRXMKCJKVMJ-UHFFFAOYSA-N,C1=CC(=CC=C1O)O
tsul,DHCDFWKWKRSZHF-UHFFFAOYSA-M,OS(=O)(=S)[O-]
cit,KRKNYBCHXYNGOX-UHFFFAOYSA-K,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O
glc__D,WQZGKKKJIJFFOK-GASJEMHNSA-N,C(C1C(C(C(C(O1)O)O)O)O)O
2mcit,YNOXCRMFGMSKIJ-NFNCENRGSA-K,CC(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O
lpam,FCCDDURTIIUXBY-SSDOTTSWSA-N,C1CSSC1CCCCC(=O)N
thym,RWQNBRDOKXIBIV-UHFFFAOYSA-N,CC1=CNC(=O)NC1=O
2dr5p,ALQNUOMIEBHXQG-CRCLSJGQSA-L,C(C=O)C(C(COP(=O)([O-])[O-])O)O
1agpg160,BVJSKAUUFXBDOB-LEWJYISDSA-M,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(CO)O)O
3hhdcoa,DEHLMTDDPWDRDR-BCIKBWLNSA-J,CCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O)O
ppp9,KSFOVUSSGSKXFI-UJJXFSCMSA-L,noinchikey_inpubchem
pencil,NA,noinchikey_inpubchem
pppg9,UHSGPDMIQQYNAX-UHFFFAOYSA-L,CC1=C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(N5)CC(=C1CCC(=O)[O-])N2)CCC(=O)[O-])C)C=C)C)C=C)C
fa3,NA,noinchikey_inpubchem
ggptrc,WKGTVHGVLRCTCF-UHFFFAOYSA-O,C(CCNC(=O)CCC(C(=O)[O-])[NH3+])C[NH3+]
salcn,NGFMICBWJRZIBI-UJPOAAIJSA-N,C1=CC=C(C(=C1)CO)OC2C(C(C(C(O2)CO)O)O)O
xan,LRFVTYWOQMYALW-UHFFFAOYSA-N,C1=NC2=C(N1)C(=O)NC(=O)N2
diact,QSJXEFYPDANLFS-UHFFFAOYSA-N,CC(=O)C(=O)C
e4p,NGHMDNPXVRFFGS-IUYQGCFVSA-L,C(C(C(C=O)O)O)OP(=O)([O-])[O-]
clavcar,NA,noinchikey_inpubchem
gam1p,YMJBYRVFGYXULK-QZABAPFNSA-M,C(C1C(C(C(C(O1)OP(=O)([O-])[O-])[NH3+])O)O)O
toctd2eACP,NA,noinchikey_inpubchem
5aprbu,RQRINYISXYAZKL-RPDRRWSUSA-L,C(C(C(C(COP(=O)([O-])[O-])O)O)O)NC1=C(C(=O)NC(=O)N1)N
oc2coa,CPSDNAXXKWVYIY-NTLMCJQISA-J,CCCCCC=CC(=O)SCCN=C(CCN=C(C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O)[O-])[O-]
ppgpp,BUFLLCUFNHESEH-UUOKFMHZSA-I,C1=NC2=C(N1C3C(C(C(O3)COP(=O)([O-])OP(=O)(O)[O-])OP(=O)([O-])OP(=O)([O-])[O-])O)NC(=NC2=O)N
2oph,VUNQJPPPTJIREN-CMAXTTDKSA-N,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC=CC=C1O)C)C)C)C)C)C)C)C
pgp161,PTJJTQQVMKSSOK-WXUKJITCSA-K,CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(COP(=O)([O-])[O-])O)OC(=O)CCCCCCCC=CCCCCCC
orn,AHLPHDHHMVZTML-BYPYZUCNSA-O,C(CC(C(=O)[O-])[NH3+])C[NH3+]
metsox_R__L,QEFRNWWLZKMPFJ-ZXPFJRLXSA-N,CS(=O)CCC(C(=O)O)N
12dgr161,NA,noinchikey_inpubchem
3odecACP,NA,noinchikey_inpubchem
malcoa,LTYOQGRJFJAKNA-DVVLENMVSA-I,CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-])O
t3c11vaceACP,NA,noinchikey_inpubchem
cobalt2,XLJKHNWPARRRJB-UHFFFAOYSA-N,[Co+2]
pyr,LCTONWCANYUPML-UHFFFAOYSA-M,CC(=O)C(=O)[O-]
glucan4,NA,noinchikey_inpubchem
moadamp,NA,noinchikey_inpubchem
4ppan,XHFVGHPGDLDEQO-ZETCQYMHSA-K,CC(C)(COP(=O)([O-])[O-])C(C(=O)NCCC(=O)[O-])O
mmtsa,VOKUMXABRRXHAR-VKHMYHEASA-M,CC(C=O)C(=O)[O-]
murein4p4p,VTZDBMVDVOTCFD-UHFFFAOYSA-G,noinchikey_inpubchem
lald__D,BSABBBMNWQWLLU-GSVOUGTGSA-N,CC(C=O)O
oaa,KHPXUQMNIQBQEV-UHFFFAOYSA-L,C(C(=O)C(=O)[O-])C(=O)[O-]
2kmb,SXFSQZDSUWACKX-UHFFFAOYSA-M,CSCCC(=O)C(=O)[O-]
12dgr180,NA,noinchikey_inpubchem
6hmhptpp,FCQGJGLSOWZZON-UHFFFAOYSA-K,C1C(=NC2=C(N1)NC(=NC2=O)N)COP(=O)([O-])OP(=O)([O-])[O-]
phthiocerol,HLQGVSDAPGNBGG-ITGKQZKFSA-N,CCCCCCCCCCCCCCCCCCC(CC(CCCCC(C)C(CC)OC)O)O
ttdceap,NA,noinchikey_inpubchem
4adcho,OIUJHGOLFKDBSU-HTQZYQBOSA-M,C=C(C(=O)[O-])OC1C=C(C=CC1[NH3+])C(=O)[O-]
gsn,NYHBQMYGNKIUIF-UUOKFMHZSA-N,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)NC(=NC2=O)N
ru5p__D,FNZLKVNUWIIPSJ-UHNVWZDZSA-L,C(C(C(C(=O)CO)O)O)OP(=O)([O-])[O-]
2mahmp,AGQJQCFEPUVXNK-UHFFFAOYSA-K,CC1=NC=C(C(=N1)N)COP(=O)([O-])OP(=O)([O-])[O-]
lipidAdsn,NA,noinchikey_inpubchem
3oxdhscoa,IFFFDKYRRUVOFP-HURBHMQQSA-I,CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)CC=CCC(=O)[O-])O
fut,VEDWXCWBMDQNCV-SCFUHWHPSA-M,C1=CC(=CC(=C1)C(=O)[O-])C(=O)CCC2C(C(C(O2)N3C=NC4=C3NC=NC4=O)O)O
alltn,POJWUDADGALRAB-UHFFFAOYSA-N,C1(C(=O)NC(=O)N1)NC(=O)N
pe180,LVNGJLRDBYCPGB-LDLOPFEMSA-N,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCCCC
clava,NA,noinchikey_inpubchem
betald,SXKNCCSPZDCRFD-UHFFFAOYSA-N,C[N+](C)(C)CC=O
12dgr120,NA,noinchikey_inpubchem
dad_5,XGYIMTFOTBMPFP-KQYNXXCUSA-N,CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
2agpg181,NA,noinchikey_inpubchem
lac__L,JVTAAEKCZFNVCJ-REOHCLBHSA-M,CC(C(=O)[O-])O
bmnmsh,NA,noinchikey_inpubchem
prlp,BLKFNHOCHNCLII-GHVQHMAVSA-J,C1=NC(=C(N1C2C(C(C(O2)COP(=O)([O-])[O-])O)O)NC=NCC(=O)C(C(COP(=O)([O-])[O-])O)O)C(=O)N
ser__L,MTCFGRXMJLQNBG-REOHCLBHSA-N,C(C(C(=O)O)N)O
fa3coa,NA,noinchikey_inpubchem
