id	name	formula	charge	compartment	annotation	notes
ocdcea_e	Octadecenoate (n-C18:1)	C18H36O2	0	e	{}	{}
fum_p	Fumarate	C4H2O4	0	p	{'sbo': 'SBO:0000247', 'bigg.metabolite': 'fum', 'biocyc': 'META:FUM', 'chebi': ['CHEBI:36180', 'CHEBI:37155', 'CHEBI:42511', 'CHEBI:5190', 'CHEBI:18012', 'CHEBI:42743', 'CHEBI:22956', 'CHEBI:22957', 'CHEBI:24124', 'CHEBI:14284', 'CHEBI:37154', 'CHEBI:29806', 'CHEBI:22958', 'CHEBI:24122'], 'envipath': '32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/709035ec-4868-4de8-9095-06428f6be14b', 'hmdb': 'HMDB00134', 'inchi_key': 'VZCYOOQTPOCHFL-OWOJBTEDSA-L', 'kegg.compound': 'C00122', 'kegg.drug': 'D02308', 'metanetx.chemical': 'MNXM93', 'reactome.compound': ['113588', '29586'], 'sabiork': '1910', 'seed.compound': 'cpd00106'}	{}
glyald_p	D-Glyceraldehyde	C3H6O3	0	p	{'sbo': 'SBO:0000247', 'bigg.metabolite': 'glyald', 'biocyc': 'META:GLYCERALD', 'chebi': ['CHEBI:17378', 'CHEBI:21025', 'CHEBI:4186', 'CHEBI:12982', 'CHEBI:39973'], 'inchi_key': 'MNQZXJOMYWMBOU-VKHMYHEASA-N', 'kegg.compound': 'C00577', 'metanetx.chemical': 'MNXM435', 'reactome.compound': '30393', 'sabiork': '1409', 'seed.compound': 'cpd00448'}	{}
pacald_e	Phenylacetaldehyde	C8H8O	0	e	{'sbo': 'SBO:0000247', 'bigg.metabolite': 'pacald', 'biocyc': 'META:PHENYLACETALDEHYDE', 'chebi': ['CHEBI:14778', 'CHEBI:25972', 'CHEBI:43163', 'CHEBI:16424', 'CHEBI:8084'], 'envipath': ['32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/1df960d5-0487-483b-a8ec-1ffa54a9d8d8', '650babc9-9d68-4b73-9332-11972ca26f7b/compound/8d55d5ff-00d5-4473-a3f5-d51d063d721a'], 'hmdb': 'HMDB06236', 'inchi_key': 'DTUQWGWMVIHBKE-UHFFFAOYSA-N', 'kegg.compound': 'C00601', 'metanetx.chemical': 'MNXM473', 'reactome.compound': '500607', 'sabiork': '2112', 'seed.compound': 'cpd00464'}	{}
pacald_p	Phenylacetaldehyde	C8H8O	0	p	{'sbo': 'SBO:0000247', 'bigg.metabolite': 'pacald', 'biocyc': 'META:PHENYLACETALDEHYDE', 'chebi': ['CHEBI:14778', 'CHEBI:25972', 'CHEBI:43163', 'CHEBI:16424', 'CHEBI:8084'], 'envipath': ['32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/1df960d5-0487-483b-a8ec-1ffa54a9d8d8', '650babc9-9d68-4b73-9332-11972ca26f7b/compound/8d55d5ff-00d5-4473-a3f5-d51d063d721a'], 'hmdb': 'HMDB06236', 'inchi_key': 'DTUQWGWMVIHBKE-UHFFFAOYSA-N', 'kegg.compound': 'C00601', 'metanetx.chemical': 'MNXM473', 'reactome.compound': '500607', 'sabiork': '2112', 'seed.compound': 'cpd00464'}	{}
ade_e	Adenine	C5H5N5	0	e	{'sbo': 'SBO:0000247', 'bigg.metabolite': 'ade', 'biocyc': ['META:ADENINE', 'META:ADENINE-RING'], 'chebi': ['CHEBI:16708', 'CHEBI:22236', 'CHEBI:40579', 'CHEBI:13733', 'CHEBI:2470'], 'hmdb': 'HMDB00034', 'inchi_key': 'GFFGJBXGBJISGV-UHFFFAOYSA-N', 'kegg.compound': 'C00147', 'kegg.drug': 'D00034', 'metanetx.chemical': 'MNXM168', 'reactome.compound': '83951', 'sabiork': '57', 'seed.compound': ['cpd00128', 'cpd22238']}	{}
5dglcn_e	5-Dehydro-D-gluconate	C6H9O7	0	e	{'sbo': 'SBO:0000247', 'bigg.metabolite': '5dglcn', 'biocyc': 'META:5-DEHYDROGLUCONATE', 'chebi': ['CHEBI:12121', 'CHEBI:20564', 'CHEBI:2051', 'CHEBI:17426', 'CHEBI:12120', 'CHEBI:58143'], 'inchi_key': 'IZSRJDGCGRAUAR-MROZADKFSA-M', 'kegg.compound': 'C01062', 'metanetx.chemical': 'MNXM963', 'sabiork': '2233', 'seed.compound': 'cpd00781'}	{}
2mcit_c	2-Methylcitrate	C7H7O7	0	c	{'sbo': 'SBO:0000247', 'bigg.metabolite': '2mcit', 'biocyc': 'META:CPD-622', 'chebi': ['CHEBI:30836', 'CHEBI:10860', 'CHEBI:19696', 'CHEBI:30835', 'CHEBI:19695', 'CHEBI:50948', 'CHEBI:58853', 'CHEBI:19630', 'CHEBI:11618', 'CHEBI:11592', 'CHEBI:15598', 'CHEBI:1203'], 'hmdb': ['HMDB03610', 'HMDB00379'], 'inchi_key': 'YNOXCRMFGMSKIJ-NFNCENRGSA-K', 'kegg.compound': 'C02225', 'lipidmaps': 'LMFA01050442', 'metanetx.chemical': 'MNXM90279', 'sabiork': '2387', 'seed.compound': ['cpd01501', 'cpd24620']}	{}
2mcacn_c	Cis-2-Methylaconitate	C7H5O6	0	c	{'sbo': 'SBO:0000247', 'bigg.metabolite': '2mcacn', 'biocyc': 'META:CPD-1136', 'chebi': ['CHEBI:57872', 'CHEBI:11084', 'CHEBI:18819', 'CHEBI:456', 'CHEBI:16717'], 'hmdb': 'HMDB06357', 'inchi_key': 'NUZLRKBHOBPTQV-ARJAWSKDSA-K', 'kegg.compound': 'C04225', 'metanetx.chemical': 'MNXM1792', 'sabiork': '7166', 'seed.compound': 'cpd02597'}	{}
adn_e	Adenosine	C10H13N5O4	0	e	{'sbo': 'SBO:0000247', 'bigg.metabolite': 'adn', 'biocyc': 'META:ADENOSINE', 'chebi': ['CHEBI:22237', 'CHEBI:13734', 'CHEBI:40558', 'CHEBI:16335', 'CHEBI:40906', 'CHEBI:40911', 'CHEBI:40825', 'CHEBI:2472'], 'hmdb': ['HMDB04402', 'HMDB00050', 'HMDB04421', 'HMDB04401'], 'inchi_key': 'OIRDTQYFTABQOQ-KQYNXXCUSA-N', 'kegg.compound': 'C00212', 'kegg.drug': 'D00045', 'metanetx.chemical': 'MNXM212', 'reactome.compound': ['83908', '83909', '8857850'], 'sabiork': '1402', 'seed.compound': 'cpd00182'}	{}
ins_e	Inosine	C10H12N4O5	0	e	{'sbo': 'SBO:0000247', 'bigg.metabolite': 'ins', 'biocyc': 'META:INOSINE', 'chebi': ['CHEBI:17596', 'CHEBI:24841', 'CHEBI:5927', 'CHEBI:14456', 'CHEBI:44407'], 'hmdb': 'HMDB00195', 'inchi_key': 'UGQMRVRMYYASKQ-KQYNXXCUSA-N', 'kegg.compound': 'C00294', 'kegg.drug': 'D00054', 'metanetx.chemical': 'MNXM334', 'reactome.compound': ['83927', '83921'], 'sabiork': '1868', 'seed.compound': 'cpd00246'}	{}
